id_libro,name,price,descr_short,descr_full,brand,barcode,image,features
10,Oud Beersel Oude Kriek Vieille 75 cl.,15.25,Lambik / Kriek,"Oud Beersel Oude Kriek es una cerveza artesana de Lambic. Oud Beersel madurada en viejas barriles de madera y elaborada con guindas naturales. Las cerezas vienen absortas lentamente en el Lambic, en este modo se desarrolla una cerveza de carácter afrutado y de color rojo rubí.
Oude Kriek es único ya que contiene aproximadamente 400 gramos de cerezas por litro.
Fragancia sorprendente de guindas y almendras. Tiene una agradable acidez de champán. Las guindas naturales revelan una frutosidad abrumadora y con el toque de las semillas de almendra, completan el placer. Con la re-fermentación espontánea, casa las guindas con el Lambic formando juntos una placentera experiencia de degustación.",Oud Beersel,287,https://www.labirratorium.com/620-large_default/oud-beersel-kriek75.jpg,"{'Estilo': 'KRIEK', 'Origen': 'Belgica', '% Alc.': 'MEDIO (4-6%)', '% Alc. Exacto': '6', 'Otros ingredientes': 'Cerezas', 'Volumen (cl)': '75', 'Tipo Fermentación': 'Lambic (Fermentación espontánea o salvaje)', 'Maltas': 'Cebada y Trigo', 'IBU': '0-25 Amargor bajo', 'Color': 'Rojiza', 'Envase': 'Botella', 'OLD-REF': '5425018070138'}"
11,Weihenstephaner Korbinian,3.2,Doppelbock,"Cerveza alemanda de estilo Doppelbock de 7.4% ABV.
El sabor tostado de la malta es la que domina el paladar, y el uso abundante del lúpulo Hallertau equilibra esta gran cerveza con un amargor pronunciado y sorprendentes aromas, donde encontramos deliciosas notas a café y chocolate.
Weihenstephaner Korbinian ha sido reconocida y galardonada como uno de los mejores ejemplos de estilo Doppelbock en Alemania en los Beer World Awards. También ha ganado el precio en la AIBA.
Llamada así en hornos a San Korbinian, en honor al fundador del monasterio de Weihenstephan.",Weihenstephan,182,https://www.labirratorium.com/365-large_default/weihenstephaner-korbinian.jpg,"{'Estilo': 'DOPPELBOCK', 'Origen': 'Alemania', '% Alc.': 'ALTO (6-9%)', '% Alc. Exacto': '7.4', 'Volumen (cl)': '50 Cl', 'Tipo Fermentación': 'Lager (Baja Fermentación)', 'Maltas': 'Cebada', 'Lúpulos': 'Hallertau', 'IBU': '0-25 Amargor bajo', 'IBU Exacto': '16', 'Color': 'Marrón', 'Envase': 'Botella', 'OLD-REF': '4105120004504'}"
12,Aecht Schlenkerla Rauchbier Märzen,2.65,Rauchbier / Mazen,"Rauchbier (cerveza ahumada) de estilo Marzen de 5.1% ABV. Cerveza de color oscuro, con aromas muy marcados a ahumados, sabor ligeramente salino, un poco amarga y final seco.
Especialidad de Bamberg, estamos ante una intensa cerveza estilo Märzen lager ahumada elaborada según los estándares tradicionales con las exclusivas maltas ahumadas de esta antigua casa cervecera.
",Brauerei Heller,180,https://www.labirratorium.com/12653-large_default/schlenkerla-rauchbier-marzen.jpg,"{'Estilo': 'RAUCHBIER', 'Origen': 'Alemania', '% Alc.': 'MEDIO (4-6%)', '% Alc. Exacto': '5.1', 'Volumen (cl)': '50 Cl', 'Tipo Fermentación': 'Lager (Baja Fermentación)', 'IBU': '25-50 Amargor medio', 'Color': 'Marrón', 'Envase': 'Botella', 'OLD-REF': '4037458000012'}"
13,Samuel Smith Imperial Stout,3.6,Imperial Stout,"Cerveza de color marrón muy oscuro, muy cremosa con espuma persistente, aromas a chocolate, café y tostados. Retrogusto dulce
Samuel Smith Imperial Stout es un clásico inglés elaborada en la cervecería más antigua de Yorkshire. Sigue la receta tradicional al pie de la letra. Vemos su cuerpo negro opaco con espuma blanca y densa. Tanto en aromas como en boca nos llegan notas de café, regaliz, caramelo quemado y algo de cacao. Es intensa, densa y viscosa por lo que invita a un trago lento y sosegado
",Samuel Smith,109,https://www.labirratorium.com/131-large_default/samuel-smiths-imperial-stout.jpg,"{'Estilo': 'IMPERIAL STOUT', 'Origen': 'Inglaterra', '% Alc.': 'ALTO (6-9%)', '% Alc. Exacto': '7', 'Volumen (cl)': '35.5 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'IBU': '0-25 Amargor bajo', 'Color': 'Negro', 'Envase': 'Botella', 'OLD-REF': '5010149200846'}"
14,Westmalle Tripel,2.95,Tripel,"Cerveza Trapista belga con 9% ABV de color oro líquido, aroma a frutas verdes y levadura. Sabor dulce y afrutado con toques ácidos y equilibrio entre amargo y seco.",Van Westmalle,83,https://www.labirratorium.com/103-large_default/westmalle-tripel.jpg,"{'Estilo': 'TRIPEL', 'Origen': 'Bélgica', '% Alc.': 'ALTO (6-9%)', '% Alc. Exacto': '9', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Cebada', 'IBU': '0-25 Amargor bajo\n25-50 Amargor medio', 'IBU Exacto': '36', 'Color': 'Amarillo dorado', 'Envase': 'Botella', 'OLD-REF': '5412343201337'}"
15,Chimay Azul Grande Réserve 75cl,7.4,Belgian Strong Ale,"Cerveza fuerte de abadía, de color oscuro, Afrutada, dulce y muy compleja, a ciruelas, pasas, caramelo y tostados.",Chimay,44,https://www.labirratorium.com/67-large_default/chimay-azul-grande-reserve.jpg,"{'Estilo': 'BELGIAN DARK STRONG ALE', 'Origen': 'Bélgica\nBélgica', '% Alc.': 'ALTO (6-9%)', '% Alc. Exacto': '9', 'Volumen (cl)': '75 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Cebada', 'IBU': '25-50 Amargor medio', 'IBU Exacto': '35', 'Color': 'Marrón', 'Envase': 'Botella', 'OLD-REF': '5410908000074'}"
16,Ayinger Celebrator,2.4,Doppelbock,"Cerveza Lager tostada de 6.7% ABV. De color caoba y espuma solida. Aromas a nuez, pasas y ligeros toques de café y frutas maduras. De textura sedosa y cuerpo pleno, pero nada pesada.
Considerada una de las mejores del mundo en su estilo.",Ayinger,584,https://www.labirratorium.com/899-large_default/ayinger-celebrator.jpg,"{'Estilo': 'DOPPELBOCK', 'Origen': 'Alemania', '% Alc.': 'ALTO (6-9%)', '% Alc. Exacto': '6.7', 'Volumen (cl)': '33 Cl', 'Maltas': 'Cebada', 'IBU': '0-25 Amargor bajo', 'IBU Exacto': '24', 'Color': 'Marrón', 'Envase': 'Botella', 'OLD-REF': '4104170029000'}"
17,Pilsner Urquell,1.75,Pilsner,"Cerveza Pilsner Checa, la original.",Pilsner Urquell- Plzensky Prazdroj (SABMiller),558,https://www.labirratorium.com/848-large_default/pilsner-urquell-.jpg,"{'Estilo': 'PILSNER ', 'Origen': 'República Checa', '% Alc.': 'MEDIO (4-6%)', '% Alc. Exacto': '4.4', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Lager', 'Maltas': 'Cebada', 'Lúpulos': 'Saaz', 'IBU': '25-50 Amargor medio', 'IBU Exacto': '39', 'Color': 'Amarillo pálido', 'Envase': 'Botella', 'OLD-REF': '8594404110127'}"
18,Aecht Schlenkerla Rauchbier Doppelbock,3.3,Rauchbier / Doppelbock,"Rauchbier (cerveza ahumada). Lager fuerte de 8% ABV elaborada a diferencia de las otras cervezas de Schlenkerla con malta ahumada en madera de roble en vez de madera de haya, aportando de esta forma un aroma muy especial que combina a la perfección con el dulzor y el toque licoroso de las Doppelbock.",Schlenkerla,367,https://www.labirratorium.com/777-large_default/schlenkerla-doppelbock.jpg,"{'Estilo': 'RAUCHBIER', 'Origen': 'Alemania', '% Alc.': 'ALTO (6-9%)', '% Alc. Exacto': '8', 'Volumen (cl)': '50 Cl', 'Maltas': 'Cebada', 'IBU': '25-50 Amargor medio', 'IBU Exacto': '40\n40', 'Color': 'Marrón', 'Envase': 'Botella', 'OLD-REF': '4037458000135'}"
19,Chimay Azul 33 cl,3.1,Belgian Strong Dark Ale,"Cerveza de color tostada oscura, con un aroma complejo a tostados, a caramelo, pasas y frutos secos entre otros. Sabor muy complejo como sus aromas, comienza con un toque a maltas tostadas, frutos dulces como las ciruelas o uvas.",Chimay,67,https://www.labirratorium.com/87-large_default/chimay-azul-33.jpg,"{'Origen': 'Bélgica', '% Alc.': 'ALTO (6-9%)', '% Alc. Exacto': '9', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Cebada', 'IBU': '25-50 Amargor medio', 'IBU Exacto': '35', 'Color': 'Marrón', 'Envase': 'Botella\nLata', 'OLD-REF': '$5410908000036'}"
20,La Chouffe 33 cl.,2.7,Belgian Strong Golden Ale,"Cerveza rubia belga de 8% ABV, con aromas herbáceos y frutales. En boca, tiene un gusto seco especiado y herbáceo. Final ligeramente lupulado y un poco alcohólico.",Brasserie d'Achouffe (Duvel-Moortgat),60,https://www.labirratorium.com/30126-large_default/la-chouffe33.jpg,"{'Estilo': 'BELGIAN GOLDEN STRONG', 'Origen': 'Bélgica', '% Alc.': 'ALTO (6-9%)', '% Alc. Exacto': '8', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Cebada', 'IBU': '0-25 Amargor bajo', 'Color': 'Amarillo dorado', 'Envase': 'Botella', 'OLD-REF': '5410769100081'}"
21,Achel Blonde,2.95,Belgian Strong Golden Ale,"Densa, ligeramente amarga. Dulce y amarga a lúpulo, con notas cítricas. Achel es una de las seis cerveceras oficialmente trapenses que existen en Bélgica. En esta cerveza además de la tradición contenida de años elaboración podrás encontrar un producto complejo de sabor fuerte, frutal y lupulada. Una cerveza sabrosa y sorprendentemente refrescante pese a tener 8% de alcohol
",Brouwerij der Trappistenabdij De Achelse Kluis (Achel),12,https://www.labirratorium.com/29924-large_default/achel-blonde.jpg,"{'Estilo': 'BELGIAN GOLDEN STRONG', 'Origen': 'Bélgica', '% Alc.': 'ALTO (6-9%)', '% Alc. Exacto': '8', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'IBU': '0-25 Amargor bajo', 'IBU Exacto': '20', 'Color': 'Amarillo dorado', 'Envase': 'Botella', 'OLD-REF': '5425007658828'}"
22,Cantillon Gueuze 100% Lambic Bio 75 cl.,18.95,Lambic / Gueuze ,"COMMERCIAL DESCRIPTIONThe world's classic Gueuze. A blend of one, two, and three year-old lambics creates a second fermentation in the bottle. The champagne of Belgium. In contrast, the Lou Pepe Gueuze is a blend of three 2-year-old lambics.Newer vintages are labeled ""Organic Gueuze"", ""100% Lambic Bio"" or ""Classic Gueuze"".",Cantillon,1046,https://www.labirratorium.com/1750-large_default/cantillon-gueuze-lambic-bio-37.jpg,"{'Estilo': 'GUEUZE', 'Origen': 'Bélgica', '% Alc.': 'MEDIO (4-6%)', '% Alc. Exacto': '5', 'Volumen (cl)': '75 Cl', 'Tipo Fermentación': 'Lambic (Fermentación espontánea o salvaje)', 'Maltas': 'Cebada y Trigo', 'IBU': '0-25 Amargor bajo', 'Color': 'Amarillo dorado', 'Envase': 'Botella', 'OLD-REF': '5411024000030'}"
23,Aecht Schlenkerla Rauchbier Urbock,2.85,Rauchbier / Lager,"Rauchbier (cerveza ahumada). Lager fuerte de 6.5% ABV elaborada con maltas de cebada ahumadas sobre troncos de madera de haya y madurada posteriormente en barricas de roble en la bodegas de Bramburg durante más tiempo que sus cervezas hermanas, creando un perfil de ahumado más intenso y maravillosamente equilibrado con el profundo dulzor de la malta.
Producción limitada (estacional).",Schlenkerla,671,https://www.labirratorium.com/1133-large_default/schlenkerla-urbock.jpg,"{'Estilo': 'RAUCHBIER', 'Origen': 'Alemania', '% Alc.': 'ALTO (6-9%)', '% Alc. Exacto': '6.5', 'Volumen (cl)': '50 Cl', 'Tipo Fermentación': 'Lager (Baja Fermentación)', 'Maltas': 'Cebada', 'IBU': '25-50 Amargor medio', 'IBU Exacto': '40', 'Color': 'Marrón', 'Envase': 'Botella', 'OLD-REF': '4037458000128'}"
24,DouGall's Raquera,2.45,Pilsen,"Cerveza rubia ligera estilo Pilsen de 5% ABV
Apariencia: De color amarillo claro y espuma blanca ligera y poco persistente
Aroma: Cereales, ligeramente herbácea y floral
Sabor: Suave a cereales, ligeramente dulce y ligeramente amargo, muy agradable, refrescante y equilibrada",Cerveza Dougall's,158,https://www.labirratorium.com/9072-large_default/dougall-s-raquera.jpg,"{'Estilo': 'PILSNER ', 'Origen': 'Cantabria', '% Alc.': 'MEDIO (4-6%)', '% Alc. Exacto': '5', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Lager', 'Maltas': 'Pilsen', 'Lúpulos': 'Sterling y Sorachi Ace', 'IBU': '0-25 Amargor bajo', 'IBU Exacto': '25', 'Color': 'Amarillo pálido', 'Envase': 'Botella', 'OLD-REF': '8437012473034'}"
25,Trappistes Rochefort 8,3.15,Belgian Strong Dark Ale,"Cerveza color marrón rojizo, aroma complejo afrutado, herbáceo y un poco amargo. Sabor dulce alcoholico y seco.El regusto es largo, ligeramente amargo y seco.",Rochefort,73,https://www.labirratorium.com/93-large_default/rochefort-trappistes-8.jpg,"{'Estilo': 'BELGIAN DARK STRONG ALE', 'Origen': 'Bélgica', '% Alc.': 'MUY ALTO (+10%)', '% Alc. Exacto': '9.2', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Cebada', 'IBU': '25-50 Amargor medio', 'Color': 'Marrón', 'Envase': 'Botella', 'OLD-REF': '5412858000081'}"
26,Tripel Karmeliet 75cl,6.8,Tripel,"Cerveza de estilo Belgian Tripel con 8.4% ABV. De color amarillo oro, contiene tres cereales: cebada, avena y trigo. El aroma complejo herbáceo y especiado, cítrico, albaricoque, y notas de especias (clavo). El sabor es herbáceo, especiado y cremoso..",Brouwerij Bosteels (AB InBev),72,https://www.labirratorium.com/92-large_default/tripel-karmeliet75.jpg,"{'Estilo': 'TRIPEL', 'Origen': 'Bélgica', '% Alc.': 'ALTO (6-9%)', '% Alc. Exacto': '8.4', 'Volumen (cl)': '75 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Cebada, Avena y Trigo', 'IBU': '0-25 Amargor bajo', 'IBU Exacto': '16', 'Color': 'Amarillo pálido', 'Envase': 'Botella', 'OLD-REF': '5410693100553'}"
27,St. Bernardus Abt 12,3,Quadrupel,"Cerveza belga fuerte elaborada al estilo del clásico ’Quadrupel’ de las mejores Ales Abadía de Bélgica.
Oscuro con una cabeza llena de color marfil. Tiene un aroma afrutado, lleno de sabores complejos y excells debido a su largo final agridulce con una mordedura de lúpulo. (10,0% ABV) Worldwide visto como una de las mejores cervezas del mundo.
Es una cerveza muy equilibrada, con un sabor con cuerpo y un perfecto equilibrio entre la malta, amargo y dulce. Una de las recetas originales de los días de licencia-elaboración de la cerveza de los monjes trapenses de Westvleteren",St. Bernardus ,63,https://www.labirratorium.com/83-large_default/st-bernardus-abt-12.jpg,"{'Estilo': 'BELGIAN DARK STRONG ALE', 'Origen': 'Bélgica', '% Alc.': 'MUY ALTO (+10%)', '% Alc. Exacto': '10', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Cebada', 'IBU': '0-25 Amargor bajo', 'IBU Exacto': '22', 'Color': 'Marrón', 'Envase': 'Botella', 'OLD-REF': '54079021'}"
28,Caleya Goma 2,3.3,IPA,"IPA de 6.3% ABV elaborada con lúpulos Citra y Mosaic, que aportan deliciosos sabores y aromas tropicales.
Refrescante y muy explosiva.
",Cerveza Caleya,2313,https://www.labirratorium.com/2759-large_default/caleya-goma-2.jpg,"{'Estilo': 'IPA (INDIA PALE ALE)', 'Origen': 'Asturias', '% Alc.': 'ALTO (6-9%)', '% Alc. Exacto': '6.3', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Maris Otter', 'Lúpulos': 'Citra y Mosaic', 'IBU': '25-50 Amargor medio', 'IBU Exacto': '42', 'Color': 'Amarillo dorado', 'Envase': 'Botella', 'OLD-REF': 'CLY-G2'}"
29,"Hanssens Oude Kriek 37,5 cl.",9.65,Lambic / Kriek,"Mezcla de varias Kriek de diferentes añadas que que refermenta de nuevo en la botella.
Seca, ácida donde destacan las notas avinagradas por encima de todo, madera, cerezas y manzanas. De cuerpo medio y final seco y duradero.",Hanssens,1301,https://www.labirratorium.com/1800-large_default/hanssens-oude-kriek.jpg,"{'Estilo': 'KRIEK', 'Origen': 'Bélgica', '% Alc.': 'MEDIO (4-6%)', '% Alc. Exacto': '6', 'Otros ingredientes': 'Cerezas', 'Volumen (cl)': '37.5 Cl', 'Tipo Fermentación': 'Lambic (Fermentación espontánea o salvaje)', 'Maltas': 'Cebada y Trigo', 'IBU': '0-25 Amargor bajo', 'Color': 'Rojiza', 'Envase': 'Botella', 'OLD-REF': '5430000304047'}"
30,Les Trois Mousquetaires Porter Baltique,15.1,Baltic Porter,"Cerveza lager negra fuerte de 10% ABV, inspirada en las cervezas Porters de la región del Mar Báltico. Sabor ahumado, a café, chocolate, vainilla y cerezas negras.
",Les Trois Mousquetaires,341,https://www.labirratorium.com/30801-large_default/les-trois-mousquetaires-porter-baltique-75.jpg,"{'Estilo': 'BALTIC PORTER', 'Origen': 'Canadá', '% Alc.': 'MUY ALTO (+10%)', '% Alc. Exacto': '10', 'Volumen (cl)': '75 Cl', 'Tipo Fermentación': 'Lager (Baja Fermentación)', 'Maltas': 'Cebada', 'IBU': '25-50 Amargor medio', 'IBU Exacto': '27', 'Color': 'Negro', 'Envase': 'Botella', 'OLD-REF': '877839001313'}"
31,Brewdog Punk IPA,3.05,India Pale Ale,"Cerveza Estilo IPA de 5.6% ABV elaborada en escocia con lúpulos americanos Chinook, Simcoe, Ahtanum y Nelson Sauvin
IPA de color claro, aromas a frutas tropicales (mango y piña sobre todo) y ligeramente amarga. ¡Un clásico de Brewdog que debería estar siempre en tu nevera ",Brewdog,211,https://www.labirratorium.com/14452-large_default/brewdog-punk-ipa.jpg,"{'Estilo': 'IPA (INDIA PALE ALE)', 'Origen': 'Escocia', '% Alc.': 'MEDIO (4-6%)', '% Alc. Exacto': '5.6', 'Otros ingredientes': 'Piel de Naranja y Semillas de Cillantro', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Ale', 'Maltas': 'Marris Otter Extra Pale Malt', 'Lúpulos': 'Chinook, Simcoe, Ahtanum, Nelson Sauvin', 'IBU': '25-50 Amargor medio', 'IBU Exacto': '45', 'Color': 'Amarillo dorado', 'Envase': 'Botella', 'OLD-REF': '5060154910018'}"
32,Gulden Draak,2.95,Belgian Strong Dark Ale,"Cerveza belga fuerte en la que se ha utilizado levadura de vino para la segunda fermentación. De color cobrizo oscuro y espuma cremosa desprende aromas a caramelo, frutas rojas, alcohol. Ideal para tomar despacio después de una comida o para acompañar platos fuertes con carnes ",Van Steenberge,66,https://www.labirratorium.com/29959-large_default/gulden-draak.jpg,"{'Estilo': 'BELGIAN DARK STRONG ALE', 'Origen': 'Bélgica', '% Alc.': 'MUY ALTO (+10%)', '% Alc. Exacto': '10,5', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Cebada', 'IBU': '25-50 Amargor medio', 'IBU Exacto': '30', 'Color': 'Marrón', 'Envase': 'Botella', 'OLD-REF': '5411663002716'}"
